keys,en,sl
#GLOBAL
_back, BACK, NAZAJ
_options,OPTIONS,OPCIJE

#SCENE MAIN
_credits, CREDITS, ZASLUGE
_shop, SHOP, TRGOVINA
_start, START, ZAČNI
_ship, SPACESHIP, VESOLJSKA LADJA
_missions_battlepass, MISSIONS  &&\nBATTLEPASS, MISIJE &&\n BOJNA SEZONA
_lootbox, LOOTBOX, SKRINJA NAGRAD
_enemy_list, ENEMY LIST, SEZNAM \nSOVRAŽNIKOV
_energy, ENERGY, ENERGIJA
_energy_main,{energy}/100\n +1E in {time}s,{energy}/100\n +1E v {time}s
_energy_full_main,{energy}/100\n,{energy}/100\n
_season_timer, SEASON ENDS IN:    10D 8H , DO KONCA SEZONE:    10D 8H
_exit, EXIT, IZHOD

#SCENE SHIP
_select, SELECT, IZBERI
_selected, SELECTED \nSPACE SHIP:, IZBRANA\nVESOLJSKA LADJA:

#SCENE ENEMY SHIP
_easy_list, Nautolan - EASY, Nautolan - LAHKO
_normal_list, Klaed - NORMAL, Klaed - SREDNJE
_hard_list, Nairan - HARD, Nairan - TEŽKO
_destroyed_label, Destroyed: {count}, Uničeno: {count}
_fighter, Fighter, Bojevnik 
_scout, Scout, Skavt
_dreadnought, Dreadnought, Drednot 
_battlecruiser, Battlecruiser, Križarnik
_frigate, Frigate, Frigata
_bomber, Bomber, Bombnik

# MISSIONS #
_survive_60_desc, SURVIVE 60s, PREŽIVI 60s
_survive_120_desc, SURVIVE 120s, PREŽIVI 120s
_score_5000_desc, GET A TOTAL SCORE OF \n5000 POINTS, DOSEŽI SKUPNO\n5000 TOČK
_score_2000_desc, GET A TOTAL SCORE OF \n2000 POINTS, DOSEŽI SKUPNO\n2000 TOČK
_kill_20_desc, DESTROY 20 ENEMIES, UNIČI 20 NASPROTNIKOV
_kill_60_desc, DESTROY 60 ENEMIES, UNIČI 60 NASPROTNIKOV
_kill_20_fighter_desc, DESTROY 20 FIGHTERS, UNIČI 20 BOJEVNIKOV
_kill_20_scout_desc, DESTROY 20 SCOUTS, UNIČI 20 SKAVTOV
_kill_5_dreadnought_desc, DESTROY 5 DREADNOUGHTS, UNIČI 5 DREDNOTOV
_kill_5_battlecruiser_desc, DESTROY 5 BATTLECRUISERS, UNIČI 5 KRIŽARNIKOV
_kill_20_easy_desc, DESTROY 20 ENEMIES \nON EASY, UNIČI 20 NASPROTNIKOV\nNA TEŽAVNOSTI LAHKO
_kill_20_normal_desc, DESTROY 20 ENEMIES \nON NORMAL, UNIČI 20 NASPROTNIKOV\nNA TEŽAVNOSTI SREDNJE
_kill_20_hard_desc, DESTROY 20 ENEMIES \nON HARD, UNIČI 20 NASPROTNIKOV\nNA TEŽAVNOSTI TEŽKO

#SCENE MISSIONS BATTLEPASS
_missions_mb, MISSIONS, MISIJE
_mission1, MISSION 1, MISIJA 1
_mission2, MISSION 2, MISIJA 2
_mission3, MISSION 3, MISIJA 3
_claim, CLAIM, POBERI
_mission_progress, Progress: {progress}/{target}   (+{exp}exp),Napredek: {progress}/{target}   (+{exp}exp)
_level_max,LEVEL {current}/{total} - MAX LEVEL\nTOTAL EXP: {xp}/{max_xp},STOPNJA {current}/{total} - NAJVIŠJA STOPNJA\nSKUPNI EXP: {xp}/{max_xp}
_level_progress,-UNLOCKED {current}/{total} - NEXT LEVEL: {cur_exp}/{need_exp} EXP ({percent}%)-\nTOTAL EXP: {total_cur}/{total_need},-ODKLENJENO {current}/{total} - NASLEDNJA STOPNJA: {cur_exp}/{need_exp} EXP ({percent}%)-\nSKUPNI EXP: {total_cur}/{total_need}

_battle_pass, BATTLE PASS, BOJNA SEZONA
_cadet_pass, CADET PASS:, KADETSKA:
_captain_pass, CAPTAIN PASS:, KAPITANSKA:
_admiral_pass, ADMIRAL PASS:, ADMIRALSKA:

_captain_pass_buy, CAPTAIN PASS:\nBUY IT IN PREMIUM SHOP! - Even more Amazing gifts! Worth the money!, KAPITANSKA:\nKUPI V PREMIUM TRGOVINI -  Še več odličnih nagrad! Splača se nakupa!
_admiral_pass_buy, ADMIRAL PASS:\nBUY IT IN PREMIUM SHOP! - The best of the best ! ! ! Yes - you want this ! ! !, ADMIRALSKA:\nKUPI V PREMIUM TRGOVINI - Le naj najboljše nagrade! ! ! Da - hočeš to! ! !

_cadet_reward_1, + 250 GOLD, + 250 ZLATA
_cadet_reward_2, + 2 SCORE\nBOOSTER, + 2\nOJAČEVALCA\nTOČK
_cadet_reward_3, + 600 GOLD, + 600 ZLATA
_cadet_reward_4, + 1 COMMON\nKEY, + 1 NAVADEN\nKLJUČ
_cadet_reward_5, + 1500 GOLD\n+ 50 CRYSTALS, + 1500 ZLATA\n+ 50 KRISTALOV
_cadet_reward_6, + 2 RARE\nKEYS, + 2 REDKA\nKLJUČA
_cadet_reward_7, + 1x ALL\nBOOSTERS, + 1x VSEH\nOJAČEVALCEV
_cadet_reward_8, + 1 MYTHICAL\nKEY, + 1 MISTIČEN\nKLJUČ
_cadet_reward_9, + 199 CRYSTALS, + 199 KRISTALOV

_captain_reward_1, + 750 GOLD, + 750 ZLATA
_captain_reward_2, + 3 COMMON\nKEYS, + 3 NAVADNIH\nKLJUČEV
_captain_reward_3, + 115 CRYSTALS, + 115 KRISTALOV
_captain_reward_4, + 1x ALL\nBOOSTERS, + 1x VSEH\nOJAČEVALCEV
_captain_reward_5, + 1 MYTHICAL\nKEY, + 1 MISTIČEN\nKLJUČ
_captain_reward_6, + 1475 GOLD\n+ 75 CRYSTALS, + 1475 ZLATA\n+ 75 KRISTALOV
_captain_reward_7, + 3 RARE\nKEYS, +3 REDKIH\nKLJUČEV
_captain_reward_8, + 2500 GOLD\n+150 CRYSTALS, + 2500 ZLATA\n+ 150 KRISTALOV
_captain_reward_9, + 3 MYTHICAL\nKEYS, + 3 MISTIČNIH\nKLJUČEV

_admiral_reward_1, + 1x ALL\nKEYS, + 1x VSEH\nKLJUČEV
_admiral_reward_2, + 1500 GOLD\n+ 150 CRYSTALS, + 1500 ZLATA\n+ 150 KRISTALOV
_admiral_reward_3, + 15 COMMON\nKEYS, + 15 NAVADNIH\nKLJUČEV
_admiral_reward_4, + 3 MYTHICAL\nKEYS, + 3 MISTIČNIH\nKLJUČEV
_admiral_reward_5, + 3x ALL\nBOOSTERS, + 3x VSEH\nOJAČEVALCEV
_admiral_reward_6, + 8 RARE\nKEYS, + 8 REDKIH\nKLJUČEV
_admiral_reward_7, + 2500 GOLD\n+ 150 CRYSTALS, + 2500 ZLATA\n+ 150 KRISTALOV
_admiral_reward_8, + 5x ALL\nBOOSTERS, + 5x VSEH\nOJAČEVALCEV
_admiral_reward_9, + 4x ALL\nKEYS, + 4 VSEH\nKLJUČEV

#SCENE LOOTBOX
_common_loot_box, COMMON\nLOOT BOX, NAVADNA\nSKRINJA NAGRAD
_rare_loot_box, RARE\nLOOT BOX, REDKA\nSKRINJA NAGRAD
_mythical_loot_box, MYTHICAL\nLOOT BOX, MISTIČNA\nSKRINJA NAGRAD
_common_loot_desc, 20% chance for SKIN\n25-200 GOLD\n1-3 BOOSTERS, 20% možnosti za IZGLED\n25-200 ZLATA\n1-3 OJAČEVALCEV
_rare_loot_desc, 60% chance for SKIN\n75-500 GOLD\n2-5 BOOSTERS, 60% možnosti za IZGLED\n75-500 ZLATA\n2-5 OJAČEVALCEV
